timestamp,prompt_type,prompt_length,input_tokens,output_tokens,prompt_eval_time,output_eval_time,total_time,avg_token_latency,throughput,model_name,gpu_name,gpu_mem_used_MB,gpu_mem_total_MB,gpu_util_percent,batch_size
2025-11-03T20:40:26.721852,simple,short,7,11,0.13950181007385254,0.1685011386871338,0.30800294876098633,0.015318285335193981,65.28145795159499,llama3,NVIDIA GeForce RTX 3060 Ti,6416,8192,93,1
2025-11-03T20:40:27.719866,simple,short,7,43,0.2200019359588623,0.6995053291320801,0.9195072650909424,0.016267565793769305,61.47201201934056,llama3,NVIDIA GeForce RTX 3060 Ti,6416,8192,91,8
2025-11-03T20:40:27.998870,simple,short,5,16,0.9475092887878418,0.24950027465820312,1.197009563446045,0.015593767166137695,64.12818591850775,llama3,NVIDIA GeForce RTX 3060 Ti,6416,8192,91,8
2025-11-03T20:40:28.292872,simple,short,5,16,1.2455086708068848,0.24750137329101562,1.4930100440979004,0.015468835830688477,64.64610594781215,llama3,NVIDIA GeForce RTX 3060 Ti,6416,8192,91,8
2025-11-03T20:40:30.030388,simple,short,7,103,1.521510362625122,1.710017442703247,3.231527805328369,0.01660211109420628,60.2333037241857,llama3,NVIDIA GeForce RTX 3060 Ti,6416,8192,91,8
2025-11-03T20:40:30.262391,simple,short,5,13,3.2585270404815674,0.20450305938720703,3.4630300998687744,0.015731004568246696,63.568731142480075,llama3,NVIDIA GeForce RTX 3060 Ti,6416,8192,91,8
2025-11-03T20:40:30.694895,simple,short,6,25,3.4880266189575195,0.40450572967529297,3.8925323486328125,0.01618022918701172,61.80382171611793,llama3,NVIDIA GeForce RTX 3060 Ti,6416,8192,91,8
2025-11-03T20:40:30.872894,simple,short,5,10,3.918531894683838,0.1510026454925537,4.069534540176392,0.01510026454925537,66.22400533037762,llama3,NVIDIA GeForce RTX 3060 Ti,6416,8192,91,8
2025-11-03T20:40:31.070897,simple,short,7,11,4.099031686782837,0.17050433158874512,4.269536018371582,0.015500393780795011,64.51449002792432,llama3,NVIDIA GeForce RTX 3060 Ti,6416,8192,91,8
2025-11-03T20:40:32.352406,simple,short,7,43,0.5775039196014404,0.6430068016052246,1.220510721206665,0.014953646548958711,66.87332061286646,llama3,NVIDIA GeForce RTX 3060 Ti,6427,8192,94,32
2025-11-03T20:40:34.465921,simple,short,7,125,1.2455110549926758,2.0860142707824707,3.3315253257751465,0.016688114166259767,59.92288823274066,llama3,NVIDIA GeForce RTX 3060 Ti,6427,8192,94,32
2025-11-03T20:40:35.182928,simple,short,6,37,3.3525261878967285,0.6900062561035156,4.042532444000244,0.01864881773252745,53.6227022185857,llama3,NVIDIA GeForce RTX 3060 Ti,6427,8192,94,32
2025-11-03T20:40:35.369929,simple,short,8,10,4.068533658981323,0.15800166130065918,4.226535320281982,0.015800166130065917,63.29047376895068,llama3,NVIDIA GeForce RTX 3060 Ti,6427,8192,94,32
2025-11-03T20:40:35.549431,simple,short,8,10,4.260034561157227,0.15250253677368164,4.412537097930908,0.015250253677368163,65.5726797177171,llama3,NVIDIA GeForce RTX 3060 Ti,6427,8192,94,32
2025-11-03T20:40:39.343462,simple,short,6,212,4.45153546333313,3.7470319271087646,8.198567390441895,0.017674678901456436,56.578114124472016,llama3,NVIDIA GeForce RTX 3060 Ti,6427,8192,94,32
2025-11-03T20:40:39.989968,simple,short,7,36,8.232568502426147,0.6180040836334229,8.85057258605957,0.01716678010092841,58.25204226539362,llama3,NVIDIA GeForce RTX 3060 Ti,6427,8192,94,32
2025-11-03T20:40:40.451970,simple,short,6,25,8.868571996688843,0.4340038299560547,9.302575826644897,0.017360153198242186,57.60317830036521,llama3,NVIDIA GeForce RTX 3060 Ti,6427,8192,94,32
2025-11-03T20:40:40.956475,simple,short,6,27,9.348074674606323,0.4745047092437744,9.822579383850098,0.017574248490510164,56.90143738094891,llama3,NVIDIA GeForce RTX 3060 Ti,6427,8192,94,32
2025-11-03T20:40:43.561496,simple,short,7,144,9.840579986572266,2.5770208835601807,12.417600870132446,0.01789597835805681,55.878476157733935,llama3,NVIDIA GeForce RTX 3060 Ti,6427,8192,94,32
2025-11-03T20:40:44.137000,simple,short,4,32,12.450099468231201,0.54500412940979,12.995103597640991,0.01703137904405594,58.71515145152068,llama3,NVIDIA GeForce RTX 3060 Ti,6427,8192,94,32
2025-11-03T20:40:44.331502,simple,short,7,11,13.013106346130371,0.16750097274780273,13.180607318878174,0.015227361158891157,65.67126040851186,llama3,NVIDIA GeForce RTX 3060 Ti,6427,8192,94,32
2025-11-03T20:40:44.543006,simple,short,7,12,13.230811595916748,0.18400168418884277,13.41481328010559,0.015333473682403564,65.21679436197051,llama3,NVIDIA GeForce RTX 3060 Ti,6427,8192,94,32
2025-11-03T20:40:44.795006,simple,short,7,14,13.43510913848877,0.2245023250579834,13.659611463546753,0.01603588036128453,62.36015594218967,llama3,NVIDIA GeForce RTX 3060 Ti,6427,8192,94,32
2025-11-03T20:40:46.085017,simple,short,5,70,13.697109937667847,1.2590117454528809,14.956121683120728,0.017985882077898297,55.59916359225085,llama3,NVIDIA GeForce RTX 3060 Ti,6427,8192,94,32
2025-11-03T20:40:46.530019,simple,short,6,24,14.982121467590332,0.41700243949890137,15.399123907089233,0.017375101645787556,57.55362013910528,llama3,NVIDIA GeForce RTX 3060 Ti,6427,8192,94,32
2025-11-03T20:40:46.816522,simple,short,6,16,15.427126169204712,0.2565004825592041,15.683626651763916,0.016031280159950256,62.37805028810019,llama3,NVIDIA GeForce RTX 3060 Ti,6427,8192,94,32
