timestamp,prompt_type,prompt_length,input_tokens,output_tokens,prompt_eval_time,output_eval_time,time_to_first_token_prompt,time_to_first_token_user,total_time,avg_token_latency,throughput,model_name,gpu_name,gpu_mem_used_MB,gpu_mem_total_MB,gpu_util_percent,batch_size
2025-11-05T14:55:59.593257,simple,short,7,11,0.121002197265625,0.24050092697143555,0.121002197265625,0.12150049209594727,0.36150312423706055,0.02186372063376687,45.73786944823908,llama3,NVIDIA GeForce RTX 3060 Ti,7234,8192,46,1
2025-11-05T14:56:00.116762,simple,short,7,12,0.2050004005432129,0.2675015926361084,0.2050004005432129,0.20650124549865723,0.4725019931793213,0.022291799386342365,44.85954600025134,llama3,NVIDIA GeForce RTX 3060 Ti,7203,8192,54,8
2025-11-05T14:56:06.892319,simple,short,6,275,0.505002498626709,6.7410571575164795,0.505002498626709,0.5085029602050781,7.2460596561431885,0.024512935118241742,40.794788350573,llama3,NVIDIA GeForce RTX 3060 Ti,7203,8192,54,8
2025-11-05T14:56:07.165820,simple,short,7,11,7.2835609912872314,0.23949956893920898,7.2835609912872314,7.2835609912872314,7.52306056022644,0.021772688085382633,45.92910145400753,llama3,NVIDIA GeForce RTX 3060 Ti,7203,8192,54,8
2025-11-05T14:56:07.482821,simple,short,5,13,7.551560878753662,0.28400158882141113,7.551560878753662,7.556060791015625,7.835562467575073,0.021846276063185472,45.77439180516274,llama3,NVIDIA GeForce RTX 3060 Ti,7203,8192,54,8
2025-11-05T14:56:07.831826,simple,short,7,14,7.8710644245147705,0.3150031566619873,7.8710644245147705,7.874063491821289,8.186067581176758,0.022500225475856235,44.44399906450028,llama3,NVIDIA GeForce RTX 3060 Ti,7203,8192,54,8
2025-11-05T14:56:10.841851,simple,short,6,126,8.222066402435303,2.976025104522705,8.222066402435303,8.223067045211792,11.198091506958008,0.02361924686129131,42.338352525493185,llama3,NVIDIA GeForce RTX 3060 Ti,7203,8192,54,8
2025-11-05T14:56:15.246886,simple,short,5,177,11.229093074798584,4.371034145355225,11.229093074798584,11.233093023300171,15.600127220153809,0.024695108165848727,40.49384976506872,llama3,NVIDIA GeForce RTX 3060 Ti,7203,8192,54,8
2025-11-05T14:56:15.570890,simple,short,5,13,15.635628461837769,0.29000163078308105,15.635628461837769,15.638129472732544,15.92563009262085,0.022307817752544697,44.82733412531703,llama3,NVIDIA GeForce RTX 3060 Ti,7203,8192,54,8
2025-11-05T14:56:16.593899,simple,short,4,19,0.5031933784484863,0.4783163070678711,0.5031933784484863,0.5036940574645996,0.9815096855163574,0.025174542477256374,39.72266828298618,llama3,NVIDIA GeForce RTX 3060 Ti,7474,8192,49,32
2025-11-05T14:56:21.842439,simple,short,6,212,0.9970078468322754,5.214043140411377,0.9970078468322754,1.016507625579834,6.211050987243652,0.024594543115148006,40.65942576441238,llama3,NVIDIA GeForce RTX 3060 Ti,7474,8192,49,32
2025-11-05T14:56:27.153984,simple,short,7,217,6.265053033828735,5.276042222976685,6.265053033828735,6.266053199768066,11.54109525680542,0.02431355863122896,41.12931451817893,llama3,NVIDIA GeForce RTX 3060 Ti,7474,8192,49,32
2025-11-05T14:56:28.352495,simple,short,7,49,11.55009388923645,1.1635112762451172,11.55009388923645,11.577094793319702,12.713605165481567,0.023745128086635044,42.113902117161054,llama3,NVIDIA GeForce RTX 3060 Ti,7474,8192,49,32
2025-11-05T14:56:28.693999,simple,short,6,14,12.756969451904297,0.30800557136535645,12.756969451904297,12.774104833602905,13.064975023269653,0.022000397954668318,45.45372324902912,llama3,NVIDIA GeForce RTX 3060 Ti,7474,8192,49,32
2025-11-05T14:56:35.119048,simple,short,5,261,13.092607498168945,6.391549825668335,13.092607498168945,13.115609169006348,19.48415732383728,0.02448869665007025,40.83516629281826,llama3,NVIDIA GeForce RTX 3060 Ti,7474,8192,49,32
2025-11-05T14:56:35.702054,simple,short,6,24,19.535160541534424,0.5485033988952637,19.535160541534424,19.541661739349365,20.083663940429688,0.022854308287302654,43.755426216753094,llama3,NVIDIA GeForce RTX 3060 Ti,7474,8192,49,32
2025-11-05T14:56:36.086559,simple,short,7,14,20.117663621902466,0.3495059013366699,20.117663621902466,20.12516498565674,20.467169523239136,0.024964707238333567,40.05654824842046,llama3,NVIDIA GeForce RTX 3060 Ti,7474,8192,49,32
2025-11-05T14:56:36.169058,simple,short,5,3,20.503169775009155,0.04899930953979492,20.503169775009155,20.508169651031494,20.55216908454895,0.01633310317993164,61.225352523866526,llama3,NVIDIA GeForce RTX 3060 Ti,7474,8192,49,32
2025-11-05T14:56:36.489561,simple,short,5,13,20.556668281555176,0.2865030765533447,20.556668281555176,20.591169357299805,20.84317135810852,0.022038698196411133,45.37473089780067,llama3,NVIDIA GeForce RTX 3060 Ti,7474,8192,49,32
2025-11-05T14:56:44.969130,simple,short,6,348,20.889661073684692,8.446043252944946,20.889661073684692,20.911197662353516,29.33570432662964,0.02427023923260042,41.20272529727576,llama3,NVIDIA GeForce RTX 3060 Ti,7474,8192,49,32
2025-11-05T14:56:45.433132,simple,short,5,19,29.36574077606201,0.43000197410583496,29.36574077606201,29.391241788864136,29.795742750167847,0.022631682847675524,44.185843656902826,llama3,NVIDIA GeForce RTX 3060 Ti,7474,8192,49,32
2025-11-05T14:56:45.752636,simple,short,5,13,29.85324215888977,0.28550291061401367,29.85324215888977,29.855244636535645,30.138745069503784,0.021961762354924128,45.53368640635465,llama3,NVIDIA GeForce RTX 3060 Ti,7474,8192,49,32
