timestamp,prompt_type,prompt_length,input_tokens,output_tokens,prompt_eval_time,output_eval_time,total_time,avg_token_latency,throughput,model_name,gpu_name,gpu_mem_used_MB,gpu_mem_total_MB,gpu_util_percent,batch_size,time_to_first_token_user_est
2025-11-03T23:46:24.572326,simple,short,8,10,0.1115980148315429,0.1190748214721679,0.2306728363037109,0.0119074821472167,83.9808103540794,llama3,NVIDIA GeForce RTX 3060 Ti,6710,8192,92,1,0.2315980148315429
2025-11-03T23:46:24.895257,simple,short,5,9,0.1680026054382324,0.1060023307800293,0.2740049362182617,0.0117780367533365,84.90379347107327,llama3,NVIDIA GeForce RTX 3060 Ti,6710,8192,94,8,0.2880026054382324
2025-11-03T23:46:25.155762,simple,short,6,19,0.297004222869873,0.2370054721832275,0.5340096950531006,0.0124739722201698,80.16692536664813,llama3,NVIDIA GeForce RTX 3060 Ti,6710,8192,94,8,0.417004222869873
2025-11-03T23:46:25.335763,simple,short,5,13,0.558509111404419,0.1565020084381103,0.7150111198425293,0.0120386160337007,83.06602662636708,llama3,NVIDIA GeForce RTX 3060 Ti,6710,8192,94,8,0.6785091114044189
2025-11-03T23:46:25.450765,simple,short,6,8,0.7395102977752686,0.091501235961914,0.8310115337371826,0.0114376544952392,87.43051299689408,llama3,NVIDIA GeForce RTX 3060 Ti,6710,8192,94,8,0.8595102977752686
2025-11-03T23:46:25.539767,simple,short,4,6,0.8520112037658691,0.0655014514923095,0.9175126552581788,0.0109169085820515,91.60102353921808,llama3,NVIDIA GeForce RTX 3060 Ti,6710,8192,94,8,0.9720112037658691
2025-11-03T23:46:25.707271,simple,short,6,12,0.9425134658813475,0.1445045471191406,1.0870180130004885,0.0120420455932617,83.0423695256197,llama3,NVIDIA GeForce RTX 3060 Ti,6710,8192,94,8,1.0625134658813475
2025-11-03T23:46:26.768787,simple,short,7,80,1.1120188236236572,1.0375158786773682,2.1495347023010254,0.0129689484834671,77.10725362775605,llama3,NVIDIA GeForce RTX 3060 Ti,6710,8192,94,8,1.2320188236236573
2025-11-03T23:46:26.988790,simple,short,5,16,2.169534206390381,0.1965022087097168,2.3660364151000977,0.0122813880443573,81.42402116016937,llama3,NVIDIA GeForce RTX 3060 Ti,6710,8192,94,8,2.289534206390381
2025-11-03T23:46:27.898804,simple,short,4,33,0.4505057334899902,0.4070069789886474,0.8575127124786377,0.0123335448178378,81.0796907758195,llama3,NVIDIA GeForce RTX 3060 Ti,6710,8192,94,32,0.5705057334899901
2025-11-03T23:46:28.027806,simple,short,8,9,0.8825132846832275,0.1055014133453369,0.9880146980285645,0.0117223792605929,85.30691404616897,llama3,NVIDIA GeForce RTX 3060 Ti,6710,8192,94,32,1.0025132846832276
2025-11-03T23:46:28.208310,simple,short,5,13,1.015016794204712,0.1570026874542236,1.1720194816589355,0.012077129804171,82.80113041880468,llama3,NVIDIA GeForce RTX 3060 Ti,6710,8192,94,32,1.135016794204712
2025-11-03T23:46:30.919350,simple,short,6,204,1.1705195903778076,2.688040018081665,3.8585596084594727,0.0131766667553022,75.891727291168,llama3,NVIDIA GeForce RTX 3060 Ti,6710,8192,94,32,1.2905195903778077
2025-11-03T23:46:32.799880,simple,short,6,142,3.9030604362487793,1.8580288887023928,5.761089324951172,0.0130847104838196,76.42507652244834,llama3,NVIDIA GeForce RTX 3060 Ti,6710,8192,94,32,4.023060436248779
2025-11-03T23:46:35.140918,simple,short,4,176,5.79408860206604,2.3090357780456543,8.103124380111694,0.0131195214661684,76.22229229768138,llama3,NVIDIA GeForce RTX 3060 Ti,6710,8192,94,32,5.91408860206604
2025-11-03T23:46:35.346992,simple,short,6,15,8.121622800827026,0.183074951171875,8.304697751998901,0.0122049967447916,81.93365560926821,llama3,NVIDIA GeForce RTX 3060 Ti,6710,8192,94,32,8.241622800827026
2025-11-03T23:46:35.487923,simple,short,5,10,8.327126741409302,0.1175031661987304,8.444629907608032,0.011750316619873,85.10408973224793,llama3,NVIDIA GeForce RTX 3060 Ti,6710,8192,94,32,8.447126741409301
2025-11-03T23:46:35.537923,simple,short,4,3,8.461130619049072,0.027501106262207,8.48863172531128,0.0091670354207356,109.0865207892638,llama3,NVIDIA GeForce RTX 3060 Ti,6710,8192,94,32,8.581130619049071
