batch_size,prompt_type,prompt_length,total_output_tokens,batch_time,avg_token_latency,avg_throughput,gpu_name,gpu_mem_used_MB,gpu_mem_total_MB,gpu_util_percent
1,simple,short,265.0,3.639004230499268,0.0137320914358462,72.82211924322009,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,94.0
1,simple,short,10.0,0.2335028648376464,0.0233502864837646,42.82602702520569,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,94.0
1,simple,short,17.0,0.3250024318695068,0.0191177901099709,52.307300909138256,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,93.0
1,simple,short,11.0,0.2444977760314941,0.0222270705483176,44.99018428119801,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,90.0
1,simple,short,8.0,0.2034988403320312,0.0254373550415039,39.31226333745735,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,93.0
1,simple,short,13.0,0.270003080368042,0.0207694677206186,48.147598843241575,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,94.0
1,simple,short,13.0,0.2690496444702148,0.0206961264977088,48.3182203254655,NVIDIA GeForce RTX 3060 Ti,6669.0,8192,94.0
1,simple,short,63.0,0.9255144596099854,0.014690705708095,68.07024930388272,NVIDIA GeForce RTX 3060 Ti,6669.0,8192,92.0
1,simple,short,13.0,0.2700014114379883,0.0207693393413837,48.1478964527033,NVIDIA GeForce RTX 3060 Ti,6669.0,8192,92.0
1,simple,short,10.0,0.2330067157745361,0.0233006715774536,42.917217929788265,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,94.0
1,simple,short,12.0,0.2575061321258545,0.0214588443438212,46.60083199158564,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,90.0
1,simple,long,355.0,4.899585962295532,0.0138016505980155,72.45510186613339,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,93.0
1,simple,long,526.0,7.312626838684082,0.0139023323929355,71.93037626608259,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,95.0
1,simple,long,396.0,5.475596904754639,0.0138272649109965,72.32088243313534,NVIDIA GeForce RTX 3060 Ti,6656.0,8192,92.0
1,simple,long,520.0,7.2357337474823,0.0139148725913121,71.86555201550028,NVIDIA GeForce RTX 3060 Ti,6656.0,8192,94.0
1,simple,long,385.0,5.327572584152222,0.0138378508679278,72.26555695275715,NVIDIA GeForce RTX 3060 Ti,6669.0,8192,94.0
